epoch,train_loss,test_loss,accuracy
1,1.5073835259813178,1.0834520261758451,0.6136
2,1.0867199765904176,0.898118288274024,0.687
3,0.9164098402880647,0.8174925837547157,0.7169
4,0.8101247680156737,0.7658786050453308,0.7394
5,0.7316692021420544,0.7482577953368995,0.7407
6,0.6684592335730257,0.7013195546189691,0.7612
7,0.6097449385525321,0.7033707038232475,0.7618
8,0.5553839081312384,0.6834326238389228,0.7759
9,0.5081334032899584,0.6735832097044416,0.7813
10,0.4648734876490615,0.7256495485639876,0.7732
11,0.4184840189107239,0.7271176578512617,0.7817
12,0.38481748909177377,0.7532374399482824,0.7772
13,0.35248556809352183,0.781609345203752,0.7823
14,0.3214897391245798,0.7799082191506769,0.7835
15,0.28642325465331603,0.7947948618679289,0.7835
16,0.2667248906743953,0.8522497428830262,0.7877
17,0.2392640627272751,0.8917061043013433,0.7833
18,0.21752707114266923,0.9200795173265373,0.7854
19,0.1968507139664858,0.9655206235730724,0.7879
20,0.17975300356812413,0.9897299501926277,0.7869
21,0.16141951940191523,1.0173506915189658,0.7875
22,0.15003866365041268,1.0756464205729734,0.7907
23,0.14124503087185686,1.0706435049035747,0.7896
24,0.12860507912971936,1.154899499788406,0.7873
25,0.12114730365621998,1.14004300525234,0.7907
26,0.11446242547734543,1.1447587637764634,0.7873
27,0.1077461558253602,1.1633870487759828,0.789
28,0.10558964780834325,1.173344586115734,0.7912
29,0.10355991918041045,1.1802434670697353,0.7906
30,0.10107961645030686,1.1799502955500487,0.7899
